,geometry,osid,theme,changetype,name1_text,name2_text,description,versiondate,name1_language,name2_language,routehierarchy,formspartofstreet,geometry_length_m,alternatename1_text,alternatename2_text,averagespeed_source,versionavailabletodate,alternatename1_language,alternatename2_language,averagespeed_updatedate,indicativespeedlimit_kph,indicativespeedlimit_mph,roadclassificationnumber,versionavailablefromdate,averagespeed_evidencedate,indicativespeedlimit_source,indicativespeedlimit_updatedate,averagespeed_mf4to7capturemethod,averagespeed_mf7to9capturemethod,averagespeed_ss4to7capturemethod,averagespeed_mf22to4capturemethod,averagespeed_mf9to12capturemethod,averagespeed_ss22to4capturemethod,averagespeed_ss7to10capturemethod,indicativespeedlimit_evidencedate,averagespeed_mf12to14capturemethod,averagespeed_mf14to16capturemethod,averagespeed_mf16to19capturemethod,averagespeed_mf19to22capturemethod,averagespeed_mf4to7indirection_kph,averagespeed_mf7to9indirection_kph,averagespeed_ss10to14capturemethod,averagespeed_ss14to19capturemethod,averagespeed_ss19to22capturemethod,averagespeed_ss4to7indirection_kph,indicativespeedlimit_capturemethod,averagespeed_mf22to4indirection_kph,averagespeed_mf9to12indirection_kph,averagespeed_ss22to4indirection_kph,averagespeed_ss7to10indirection_kph,averagespeed_mf12to14indirection_kph,averagespeed_mf14to16indirection_kph,averagespeed_mf16to19indirection_kph,averagespeed_mf19to22indirection_kph,averagespeed_ss10to14indirection_kph,averagespeed_ss14to19indirection_kph,averagespeed_ss19to22indirection_kph,averagespeed_mf4to7againstdirection_kph,averagespeed_mf7to9againstdirection_kph,averagespeed_ss4to7againstdirection_kph,averagespeed_mf22to4againstdirection_kph,averagespeed_mf9to12againstdirection_kph,averagespeed_ss22to4againstdirection_kph,averagespeed_ss7to10againstdirection_kph,averagespeed_mf12to14againstdirection_kph,averagespeed_mf14to16againstdirection_kph,averagespeed_mf16to19againstdirection_kph,averagespeed_mf19to22againstdirection_kph,averagespeed_ss10to14againstdirection_kph,averagespeed_ss14to19againstdirection_kph,averagespeed_ss19to22againstdirection_kph,distance_to_point,bearing_to_point,site
5,"LINESTRING (435749.2334752417 336385.04300764186, 435752.2350254371 336401.04042908543, 435754.2368859672 336424.03912128386, 435754.23391895066 336425.3518302812)",5ef89695-6e5c-4e10-94f1-ddf2cf92d5e8,Transport,Modified Attributes,St Alkmunds Way,,Average And Indicative Speed,2023-11-10,,,A Road,"['10802111', '10816784']",40.673,St Alkmund's Way,,Basemap,,,,2023-08-17,64,40,A601,2023-11-11T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,2015-12-31,Field Survey,Field Survey,Field Survey,Field Survey,59.2,57.8,Field Survey,Field Survey,Field Survey,59.2,Desk-Based,58.4,57.9,57.8,59.9,57.6,57.0,54.4,59.2,59.4,59.1,60.5,,,,,,,,,,,,,,,82.2397255173526,10.347383164201574,DESA
6,"LINESTRING (435792.400898456 336424.5991167046, 435786.2336433107 336413.0393374697, 435777.07097338646 336390.1212296496)",63d75c15-f1f2-45ed-bc1c-b11335e4749a,Transport,Modified Attributes,Eastgate,,Average And Indicative Speed,2023-09-29,,,A Road,"['10816783', '10800759']",37.779,,,Basemap,,,,2023-08-17,64,40,A52,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,2015-12-31,Field Survey,Field Survey,Field Survey,Field Survey,39.8,25.9,Field Survey,Field Survey,Field Survey,53.0,Desk-Based,52.3,47.0,50.9,50.4,50.2,50.2,46.5,40.7,35.9,46.5,55.7,,,,,,,,,,,,,,,87.36934607454529,338.52396614747,DESA
7,"LINESTRING (435777.07097338646 336390.1212296496, 435774.2395796595 336382.0459334892)",656004c8-5dbb-47a2-bf47-137c2499a267,Transport,Modified Attributes,Eastgate,,Average And Indicative Speed,2023-09-29,,,A Road,"['10816783', '10800759']",8.564,,,Basemap,,,,2023-08-17,64,40,A52,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,2015-12-31,Field Survey,Field Survey,Field Survey,Field Survey,33.6,21.6,Field Survey,Field Survey,Field Survey,50.5,Desk-Based,52.6,44.7,52.0,49.9,49.7,49.1,43.5,40.2,29.5,46.5,56.8,,,,,,,,,,,,,,,78.95352052198598,349.2324492297853,DESA
8,"LINESTRING (435777.07097338646 336390.1212296496, 435773.7806873869 336387.7384611934, 435768.8165797896 336382.58437404316)",7dbe2b44-d543-4224-b322-59305d529d09,Transport,Modified Attributes,Meadow Road,,Average And Indicative Speed,2023-09-29,,,Local Road,['10801497'],11.217,,,Basemap,,,,2023-08-17,48,30,,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,,Field Survey,Field Survey,Field Survey,Field Survey,,,Field Survey,Automated Process,Automated Process,,Desk-Based,,,,,,,,,,,,27.7,23.8,30.4,26.4,23.5,26.6,28.2,33.6,31.1,36.7,29.9,44.9,25.8,27.4,78.88760495226664,351.5886568868412,DESA
9,"LINESTRING (435784.2385850557 336380.0394513539, 435799.9055949091 336377.09589444124, 435807.7357868292 336375.61854805984)",9bedf8d6-3e63-4ae2-8604-1ab74503b515,Transport,Modified Geometry,Meadow Road,,Average And Indicative Speed,2024-02-06,,,Local Road,['10801497'],23.911,,,Basemap,,,,2023-08-17,48,30,,2024-02-07T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Automated Process,Field Survey,Field Survey,Field Survey,Field Survey,,Field Survey,Field Survey,Field Survey,Field Survey,,,Field Survey,Field Survey,Field Survey,,Desk-Based,,,,,,,,,,,,24.3,26.2,30.4,22.4,20.9,22.4,25.8,23.5,25.6,17.2,24.3,25.3,28.7,15.1,79.077369295268,334.53185138833555,DESA
10,"LINESTRING (435772.2376162932 336471.0409814816, 435773.23520024226 336457.04217680363, 435772.2353334335 336444.0409799412, 435770.2349106667 336419.03981817793, 435764.2373988954 336389.03634010797, 435764.23461157735 336383.040031985)",a0191d0f-918d-4221-83b6-2e73497c8d4e,Transport,Modified Attributes,St Alkmunds Way,,Average And Indicative Speed,2023-09-29,,,A Road,"['10802111', '10816784']",88.748,St Alkmund's Way,,Basemap,,,,2023-08-17,64,40,A601,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,2015-12-31,Field Survey,Field Survey,Field Survey,Field Survey,43.8,26.7,Field Survey,Field Survey,Field Survey,61.5,Desk-Based,64.4,53.3,62.8,58.9,57.1,54.9,46.4,46.2,35.6,53.3,63.7,,,,,,,,,,,,,,,79.12567332719779,351.66245780237136,DESA
11,"LINESTRING (435763.2372967299 336366.04504114186, 435758.23814524413 336341.04399750923, 435757.3132234576 336335.1855051985)",a559f021-15bd-43e5-8051-abcfac284353,Transport,Modified Attributes,St Alkmunds Way,,Average And Indicative Speed,2023-09-29,,,A Road,"['10816784', '10802111']",31.426,St Alkmund's Way,,Basemap,,,,2023-08-17,64,40,A601,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,2019-12-26,Field Survey,Field Survey,Field Survey,Field Survey,43.9,28.5,Field Survey,Field Survey,Field Survey,49.4,Desk-Based,59.6,51.8,57.9,55.8,54.4,53.9,46.7,51.0,37.0,47.5,60.5,,,,,,,,,,,,,,,31.733339359334078,1.262150745848544,DESA
12,"LINESTRING (435784.2385850557 336380.0394513539, 435796.4699851545 336388.91845521674)",aa578811-ba92-4d16-846c-6e70be789b9b,Transport,Modified Attributes,Meadow Road,,Average And Indicative Speed,2023-09-29,,,Local Road,['10801497'],15.115,,,Basemap,,,,2023-08-17,48,30,,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,,Field Survey,Field Survey,Field Survey,Field Survey,,,Field Survey,Field Survey,Field Survey,,Automated Process,,,,,,,,,,,,25.9,19.3,41.8,21.9,27.5,23.8,12.1,27.8,29.6,28.7,19.3,34.6,34.3,17.5,79.077369295268,337.36646449165613,DESA
13,"LINESTRING (435842.04123187356 336363.4235906126, 435871.2371187858 336353.0377545952, 435875.63572770037 336350.1111251344)",adf36785-2333-4623-a326-f9036225ae11,Transport,New,Meadow Road,,Average And Indicative Speed,2024-02-06,,,Local Road,['10801497'],36.279,,,Ordnance Survey And Basemap,,,,2024-02-02,48,30,,2024-02-07T00:00:00Z,,Ordnance Survey And Basemap,2024-02-02,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,,Automated Process,Automated Process,Automated Process,Automated Process,26.6,22.5,Automated Process,Automated Process,Automated Process,28.7,Automated Process,26.6,21.7,26.7,26.4,22.5,22.9,23.8,25.6,24.8,25.1,26.9,26.6,22.7,28.7,26.7,21.9,26.7,26.4,22.5,23.0,23.8,25.8,24.9,25.1,26.9,99.10189695385148,307.1971362753135,DESA
14,"LINESTRING (435774.2395796595 336382.0459334892, 435784.2385850557 336380.0394513539)",c29ffc17-2ee5-42d8-af63-d468f4f594e2,Transport,Modified Attributes,Meadow Road,,Average And Indicative Speed,2023-09-29,,,Local Road,['10801497'],10.198,,,Basemap,,,,2023-08-17,48,30,,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,,Field Survey,Field Survey,Field Survey,Field Survey,,,Field Survey,Field Survey,Field Survey,,Desk-Based,,,,,,,,,,,,26.7,27.7,36.7,24.3,24.8,25.4,25.1,30.4,28.8,29.1,26.2,28.2,39.4,20.0,78.84492427636665,346.8968939293705,DESA
15,"LINESTRING (435768.8165797896 336382.58437404316, 435774.2395796595 336382.0459334892)",cc1c1dc9-7e7c-4c8c-9353-cf5069d6a6c9,Transport,Modified Attributes,Meadow Road,,Average And Indicative Speed,2023-09-29,,,Local Road,['10801497'],5.444,,,Basemap,,,,2023-08-17,48,30,,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Automated Process,Field Survey,Field Survey,Field Survey,Field Survey,,Field Survey,Field Survey,Field Survey,Field Survey,,,Field Survey,Field Survey,Field Survey,,Desk-Based,,,,,,,,,,,,30.4,37.2,30.4,31.5,27.7,33.2,28.0,31.9,38.5,32.7,29.1,28.5,41.0,29.5,78.86773986260155,352.94045001714244,DESA
16,"LINESTRING (435807.7357868292 336375.61854805984, 435842.04123187356 336363.4235906126)",da217fce-15d7-44e5-abfb-ecfa64ba12b2,Transport,New,Meadow Road,,Average And Indicative Speed,2024-02-06,,,Local Road,['10801497'],36.408,,,Ordnance Survey And Basemap,,,,2024-02-02,48,30,,2024-02-07T00:00:00Z,,Ordnance Survey And Basemap,2024-02-02,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,,Automated Process,Automated Process,Automated Process,Automated Process,26.6,22.5,Automated Process,Automated Process,Automated Process,28.7,Automated Process,26.6,21.7,26.7,26.4,22.5,22.9,23.8,25.6,24.8,25.1,26.9,26.6,22.7,28.7,26.7,21.9,26.7,26.4,22.5,23.0,23.8,25.8,24.9,25.1,26.9,84.61728966241853,317.15917702500167,DESA
17,"LINESTRING (435796.4699851545 336388.91845521674, 435813.19149262 336403.3931084114)",dcacd75c-dc98-42ba-a01b-688d1c84030f,Transport,Modified Attributes,Meadow Road,,Average And Indicative Speed,2023-09-29,,,Local Road,['10801497'],22.118,,,Basemap,,,,2023-08-17,48,30,,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,,Field Survey,Field Survey,Field Survey,Field Survey,,,Field Survey,Field Survey,Field Survey,,Automated Process,,,,,,,,,,,,23.7,22.9,44.3,20.0,27.4,22.1,14.7,21.6,29.0,27.5,18.4,35.6,35.4,15.6,91.42244057277837,322.13283451168263,DESA
18,"LINESTRING (435752.1020469603 336173.1138133136, 435760.09445162374 336201.6190119527, 435759.8975051151 336215.5458508752, 435757.9357673598 336225.35459763923, 435755.3867484364 336234.5693938351, 435750.2873993803 336247.71468399983, 435744.7923879662 336261.6357981141, 435741.458594657 336272.42453701067, 435738.9060715756 336285.7666299679, 435737.67606784904 336306.67224537575, 435737.26951340184 336313.47764521063, 435737.68648697285 336316.1951816557, 435740.5984008035 336335.2401369934, 435740.7075213668 336335.9418068635)",e0130523-2700-45dd-86a8-f3df10951a7c,Transport,Modified Geometry And Attributes,St Alkmunds Way,,Average And Indicative Speed,2024-02-06,,,A Road,"['10816784', '10802111']",167.527,St Alkmund's Way,,Basemap,,,,2023-08-17,64,40,A601,2024-02-07T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,2019-03-08,Field Survey,Field Survey,Field Survey,Field Survey,51.3,50.9,Field Survey,Field Survey,Field Survey,52.0,Desk-Based,50.9,51.8,50.4,53.8,52.0,51.7,51.8,53.4,53.3,52.5,52.6,,,,,,,,,,,,,,,24.905228088952605,198.46793591842612,DESA
19,"LINESTRING (435764.23461157735 336383.040031985, 435768.8165797896 336382.58437404316)",e2c84de5-76c2-44f3-95d1-5091eb0dc6fb,Transport,Modified Attributes,Meadow Road,,Average And Indicative Speed,2023-09-29,,,Local Road,['10801497'],4.606,,,Basemap,,,,2023-08-17,48,30,,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,,Field Survey,Field Survey,Field Survey,Field Survey,25.8,15.1,Field Survey,Field Survey,Field Survey,41.5,Desk-Based,31.2,23.8,32.0,27.7,30.1,30.1,30.1,22.1,41.5,36.5,35.6,23.5,33.3,41.5,31.2,23.8,32.0,27.7,30.1,31.4,31.5,28.3,21.6,36.5,35.6,78.88760495226664,356.96402115702324,DESA
20,"LINESTRING (435740.7075213668 336335.9418068635, 435744.23493834515 336359.040747617, 435745.2334223401 336364.0431679499, 435749.2334752417 336385.04300764186)",e399fe20-2c4b-4dce-9e1c-d9a6b86f7e6c,Transport,Modified Geometry And Attributes,St Alkmunds Way,,Average And Indicative Speed,2024-02-06,,,A Road,"['10816784', '10802111']",49.84,St Alkmund's Way,,Basemap,,,,2023-08-17,64,40,A601,2024-02-07T00:00:00Z,,Basemap,2023-02-09,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,2019-03-08,Field Survey,Field Survey,Field Survey,Field Survey,58.7,57.8,Field Survey,Field Survey,Field Survey,58.7,Desk-Based,58.1,58.1,57.6,60.0,57.8,57.6,55.5,58.9,59.6,59.4,59.2,,,,,,,,,,,,,,,38.88907939871735,10.959298751133872,DESA
21,"LINESTRING (435796.4699851545 336388.91845521674, 435790.0524653582 336390.295009612, 435786.4767293742 336391.0584524409, 435777.07097338646 336390.1212296496)",f4877750-de7b-483b-9139-8eb754550a17,Transport,Modified Geometry,Meadow Road,,Average And Indicative Speed,2024-02-06,,,Local Road,['10801497'],19.672,,,Basemap,,,,2023-08-17,48,30,,2024-02-07T00:00:00Z,,Basemap,2023-05-09,Field Survey,Automated Process,Automated Process,Automated Process,Field Survey,Automated Process,Automated Process,,Field Survey,Field Survey,Field Survey,Field Survey,,,Field Survey,Automated Process,Automated Process,,Automated Process,,,,,,,,,,,,33.8,23.8,30.4,26.4,14.2,26.6,28.2,28.3,19.6,17.1,25.8,36.1,25.8,27.4,87.36934607454529,339.1901500155649,DESA
22,"LINESTRING (435807.7357868292 336375.61854805984, 435803.97827175545 336380.0518309573, 435800.22076353786 336384.4851167811, 435796.4699851545 336388.91845521674)",fa5d5275-bae3-439b-ba76-ff9442073d1b,Transport,Modified Geometry And Attributes,Meadow Road,,Average And Indicative Speed,2024-02-06,,,Local Road,[],17.433,,,Basemap,,,,2023-08-17,48,30,,2024-02-07T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Automated Process,Automated Process,Field Survey,Automated Process,Field Survey,,Field Survey,Field Survey,Field Survey,Automated Process,,,Field Survey,Field Survey,Field Survey,,Desk-Based,,,,,,,,,,,,17.4,29.8,30.4,26.4,22.4,26.6,22.1,25.1,27.5,23.7,26.7,26.6,23.7,27.4,84.61728966241853,328.5270477349558,DESA
23,"LINESTRING (435774.2395796595 336382.0459334892, 435770.23645767407 336376.04233036615, 435763.2372967299 336366.04504114186)",fe6bc251-7a95-4b2e-8413-28d71bc35348,Transport,Modified Attributes,Eastgate,,Average And Indicative Speed,2023-09-29,,,A Road,"['10816783', '10800759']",19.418,,,Basemap,,,,2023-08-17,64,40,A52,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,2015-12-31,Field Survey,Field Survey,Field Survey,Field Survey,36.9,24.6,Field Survey,Field Survey,Field Survey,56.5,Desk-Based,60.7,50.1,58.9,57.6,55.7,56.2,50.7,46.0,31.4,52.3,62.4,,,,,,,,,,,,,,,62.11905866578187,355.57016956073585,DESA
0,"LINESTRING (457307.7154564888 402680.5797226336, 457305.8080822249 402667.22680056543)",3366d2dc-6110-462a-9d1d-fd5380225757,Transport,Modified Attributes,St James Street,,Average And Indicative Speed,2023-09-29,,,Local Road,['11203193'],13.493,,,Basemap,,,,2023-08-17,32,20,,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Automated Process,Automated Process,Field Survey,Automated Process,Automated Process,2020-11-21,Field Survey,Field Survey,Field Survey,Field Survey,25.6,24.3,Field Survey,Field Survey,Field Survey,30.4,Desk-Based,27.2,15.3,27.2,28.7,25.6,31.9,28.2,25.1,28.0,27.0,24.9,18.7,27.2,30.4,27.2,17.1,27.2,28.7,23.3,25.1,29.3,40.6,28.0,23.2,30.4,95.31155407743954,237.146833081402,DCST
1,"LINESTRING (457218.65145871846 402657.8497927984, 457226.2062917187 402701.05720901804)",3c83341a-24e3-40c9-a06a-38bf9bc57108,Transport,Modified Attributes,Cleveland Street,,Average And Indicative Speed,2023-09-29,,,A Road Primary,"['11207286', '11203231']",43.868,,,Basemap,,,,2023-08-17,64,40,A630,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,2016-06-06,Field Survey,Field Survey,Field Survey,Field Survey,,,Field Survey,Field Survey,Field Survey,,Desk-Based,,,,,,,,,,,,51.5,44.6,57.5,53.8,44.3,51.8,53.6,42.3,41.0,41.2,48.9,49.4,46.4,50.9,58.73938453359088,154.530667054402,DCST
2,"LINESTRING (457275.06004562683 402695.56168474775, 457266.8064192119 402688.22945681796, 457265.80941769626 402686.22571057273, 457265.80859947216 402684.10049384646)",41d12b91-c4f3-4fef-99f1-426098b1a9e6,Transport,Modified Attributes,Camden Place,,Average And Indicative Speed,2023-09-29,,,Local Road,['11203208'],15.404,,,Basemap,,,,2023-08-17,32,20,,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,2019-10-13,Automated Process,Automated Process,Automated Process,Automated Process,27.4,24.5,Automated Process,Automated Process,Automated Process,30.4,Field Survey,27.2,24.3,27.2,28.7,24.1,25.1,25.9,26.7,26.4,26.9,27.0,27.4,24.5,30.4,27.2,24.3,27.2,28.7,24.1,25.1,25.9,26.7,26.4,26.9,27.0,65.380447596725,199.95417655748705,DCST
3,"LINESTRING (457324.00125764695 402773.76306592365, 457314.39435561415 402764.8454928763)",43525f20-2e29-4e5a-8f25-29f5a55bebf3,Transport,Modified Attributes,Grove Place,,Average And Indicative Speed,2023-09-29,,,Local Road,['11203209'],13.107,,,Basemap,,,,2023-08-17,32,20,,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Automated Process,Field Survey,Automated Process,Automated Process,Field Survey,Automated Process,Automated Process,2019-10-13,Automated Process,Field Survey,Field Survey,Automated Process,27.4,13.0,Automated Process,Automated Process,Automated Process,30.4,Field Survey,27.2,10.6,27.2,28.7,24.1,15.3,15.9,26.7,26.4,26.9,27.0,27.4,8.2,30.4,27.2,6.9,27.2,28.7,24.1,15.3,15.9,26.7,26.4,26.9,27.0,66.46162640362688,86.08428006729031,DCST
4,"LINESTRING (457335.80968833016 402783.2302797364, 457331.8087950475 402781.22351756657, 457330.80621146434 402780.23222233914, 457328.8079428122 402778.2274626084, 457324.00125764695 402773.76306592365)",4474ea6a-5e5d-4af4-961d-7131995818d9,Transport,Modified Attributes,Grove Place,,Average And Indicative Speed,2023-09-29,,,Local Road,['11203209'],15.277,,,Basemap,,,,2023-08-17,32,20,,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Automated Process,Field Survey,Automated Process,Automated Process,Field Survey,Automated Process,Automated Process,2019-10-13,Automated Process,Field Survey,Field Survey,Automated Process,27.4,16.7,Automated Process,Automated Process,Automated Process,30.4,Field Survey,27.2,13.0,27.2,28.7,24.1,7.1,12.1,26.7,26.4,26.9,27.0,27.4,7.1,30.4,27.2,4.4,27.2,28.7,24.1,7.1,12.1,26.7,26.4,26.9,27.0,77.60236335009108,90.83164014846801,DCST
5,"LINESTRING (457192.8037518029 402725.2213840784, 457195.8088916919 402726.22571643087, 457199.8057177737 402730.22399780503, 457205.8068194512 402741.22296499053, 457226.4918414939 402790.4417363056)",51d318d5-93f5-4e04-982a-45a759eb88ee,Transport,Modified Attributes,St Sepulchre Gate West,,Average And Indicative Speed,2023-09-29,,,Minor Road,"['11203064', '11207509']",74.732,,,Basemap,,,,2023-08-17,32,20,,2023-09-30T00:00:00Z,,Basemap,2023-02-09,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,2019-10-13,Field Survey,Field Survey,Field Survey,Field Survey,29.9,29.1,Field Survey,Field Survey,Field Survey,29.0,Field Survey,17.2,24.1,15.6,31.9,21.2,16.4,17.4,32.2,27.4,34.8,44.1,37.2,40.7,29.0,36.5,32.2,36.5,42.0,38.8,39.1,37.8,32.2,27.4,39.4,44.1,33.98835595610673,264.44878291978625,DCST
6,"LINESTRING (457226.2062917187 402701.05720901804, 457231.35778552183 402727.4787219073, 457234.80924673565 402744.22168088506, 457239.8057623468 402758.22389370867, 457250.8063637941 402780.2209573969, 457257.8085925215 402791.22097552597, 457270.8057720266 402808.2240797686, 457290.5246558829 402833.0861564745)",527c9c7a-d6b8-4196-97d0-a8a8acede8c8,Transport,Modified Attributes,Cleveland Street,,Average And Indicative Speed,2023-09-29,,,A Road Primary,"['11203231', '11207286']",149.649,,,Basemap,,,,2023-08-17,64,40,A630,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,2016-04-10,Field Survey,Field Survey,Field Survey,Field Survey,,,Field Survey,Field Survey,Field Survey,,Desk-Based,,,,,,,,,,,,47.0,44.1,51.3,48.4,41.4,46.5,48.8,42.5,41.2,43.8,48.1,46.2,45.5,46.2,9.161257176397442,3.392071424189453,DCST
7,"LINESTRING (457314.39435561415 402764.8454928763, 457291.5607323877 402743.63970382925)",57d5b64e-fa8b-40b0-99e1-4180a874a434,Transport,Modified Attributes,Grove Place,,Average And Indicative Speed,2023-09-29,,,Local Road,['11203209'],31.156,,,Basemap,,,,2023-08-17,32,20,,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,2019-10-13,Automated Process,Automated Process,Automated Process,Automated Process,27.4,24.5,Automated Process,Automated Process,Automated Process,30.4,Field Survey,27.2,24.3,27.2,28.7,24.1,25.1,25.9,26.7,26.4,26.9,27.0,27.4,24.5,30.4,27.2,24.3,27.2,28.7,24.1,25.1,25.9,26.7,26.4,26.9,27.0,44.5159944559961,129.83097694266007,DCST
8,"LINESTRING (457201.86653157225 402657.3576594662, 457207.8716635861 402683.9452302975)",65efdb64-5805-49a5-bc87-9d2c94dc919a,Transport,Modified Attributes,Cleveland Street,,Average And Indicative Speed,2023-11-10,,,A Road Primary,"['11203231', '11207286']",27.253,,,Basemap,,,,2023-08-17,64,40,A630,2023-11-11T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,2015-09-15,Field Survey,Field Survey,Field Survey,Field Survey,43.3,42.2,Field Survey,Field Survey,Field Survey,55.7,Desk-Based,50.1,41.2,48.8,47.0,41.4,40.9,22.7,49.3,44.7,44.6,45.1,,,,,,,,,,,,,,,82.2145813016939,136.81976869090073,DCST
9,"LINESTRING (457050.80864999746 402727.22438572574, 457052.8034742699 402726.2247668839, 457054.8049297978 402725.22522878606, 457057.8090383904 402725.2169280792, 457061.8077073894 402725.2206170077, 457183.8092478762 402723.22118410975, 457187.80792045564 402723.22497966373, 457192.8037518029 402725.2213840784)",70815244-7d8f-44e1-9b6d-42a4ea9ff5cf,Transport,Modified Attributes,St James Bridge,,Average And Indicative Speed,2024-01-05,,,Minor Road,"['11207524', '11204059']",142.874,St James's Bridge,,Basemap,,,,2023-08-17,48,30,,2024-01-06T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,2015-06-23,Field Survey,Field Survey,Field Survey,Field Survey,33.6,31.9,Field Survey,Field Survey,Field Survey,27.5,Desk-Based,15.3,31.5,13.4,32.4,31.1,22.7,31.9,36.7,35.9,36.2,34.9,33.8,32.0,27.5,36.9,33.0,35.7,33.5,34.9,32.2,34.1,37.5,37.3,38.0,32.5,63.42542866700127,63.258723581428626,DCST
10,"LINESTRING (457369.80901512585 402743.22985743615, 457336.4165810454 402712.3157798194)",74d62bdb-4217-478e-99f6-dc992de1bfcf,Transport,Modified Attributes,St James Street,,Average And Indicative Speed,2023-09-29,,,Local Road,['11203193'],45.506,,,Basemap,,,,2023-08-17,32,20,,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Automated Process,Automated Process,Field Survey,Automated Process,Automated Process,2020-11-21,Field Survey,Field Survey,Field Survey,Field Survey,26.9,26.9,Field Survey,Field Survey,Field Survey,30.4,Desk-Based,27.2,18.7,27.2,28.7,28.5,30.3,24.8,26.6,29.9,29.8,28.3,24.8,23.3,30.4,27.2,24.9,27.2,28.7,27.4,23.2,25.9,45.5,29.9,29.8,37.2,97.78375811129347,271.23687436013387,DCST
11,"LINESTRING (457265.80859947216 402684.10049384646, 457265.80596988066 402683.22144979157, 457265.80901789543 402680.2283943369, 457267.8082415505 402677.2261056088, 457269.80861619476 402675.2252379771, 457271.8101405972 402674.2257914403, 457305.8080822249 402667.22680056543)",81159a7a-d7b8-4f2f-8b92-af415cd85c95,Transport,Modified Attributes,Camden Place,,Average And Indicative Speed,2023-09-29,,,Local Road,['11203208'],47.257,,,Basemap,,,,2023-08-17,32,20,,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,2019-10-13,Automated Process,Automated Process,Automated Process,Automated Process,27.4,24.5,Automated Process,Automated Process,Automated Process,30.4,Field Survey,27.2,24.3,27.2,28.7,24.1,25.1,25.9,26.7,26.4,26.9,27.0,27.4,24.5,30.4,27.2,24.3,27.2,28.7,24.1,25.1,25.9,26.7,26.4,26.9,27.0,73.29951080580923,214.0176120847773,DCST
