,geometry,osid,theme,changetype,name1_text,name2_text,description,versiondate,name1_language,name2_language,routehierarchy,formspartofstreet,geometry_length_m,alternatename1_text,alternatename2_text,averagespeed_source,versionavailabletodate,alternatename1_language,alternatename2_language,averagespeed_updatedate,indicativespeedlimit_kph,indicativespeedlimit_mph,roadclassificationnumber,versionavailablefromdate,averagespeed_evidencedate,indicativespeedlimit_source,indicativespeedlimit_updatedate,averagespeed_mf4to7capturemethod,averagespeed_mf7to9capturemethod,averagespeed_ss4to7capturemethod,averagespeed_mf22to4capturemethod,averagespeed_mf9to12capturemethod,averagespeed_ss22to4capturemethod,averagespeed_ss7to10capturemethod,indicativespeedlimit_evidencedate,averagespeed_mf12to14capturemethod,averagespeed_mf14to16capturemethod,averagespeed_mf16to19capturemethod,averagespeed_mf19to22capturemethod,averagespeed_mf4to7indirection_kph,averagespeed_mf7to9indirection_kph,averagespeed_ss10to14capturemethod,averagespeed_ss14to19capturemethod,averagespeed_ss19to22capturemethod,averagespeed_ss4to7indirection_kph,indicativespeedlimit_capturemethod,averagespeed_mf22to4indirection_kph,averagespeed_mf9to12indirection_kph,averagespeed_ss22to4indirection_kph,averagespeed_ss7to10indirection_kph,averagespeed_mf12to14indirection_kph,averagespeed_mf14to16indirection_kph,averagespeed_mf16to19indirection_kph,averagespeed_mf19to22indirection_kph,averagespeed_ss10to14indirection_kph,averagespeed_ss14to19indirection_kph,averagespeed_ss19to22indirection_kph,averagespeed_mf4to7againstdirection_kph,averagespeed_mf7to9againstdirection_kph,averagespeed_ss4to7againstdirection_kph,averagespeed_mf22to4againstdirection_kph,averagespeed_mf9to12againstdirection_kph,averagespeed_ss22to4againstdirection_kph,averagespeed_ss7to10againstdirection_kph,averagespeed_mf12to14againstdirection_kph,averagespeed_mf14to16againstdirection_kph,averagespeed_mf16to19againstdirection_kph,averagespeed_mf19to22againstdirection_kph,averagespeed_ss10to14againstdirection_kph,averagespeed_ss14to19againstdirection_kph,averagespeed_ss19to22againstdirection_kph,distance_to_point,bearing_to_point,site
10,"LINESTRING (393587.5559546894 805985.2493993058, 393605.5548472784 805994.2491425897, 393610.5564384591 805996.2561756581)",c47237b2-0de5-462b-8435-fc6c7eb16279,Transport,Modified Attributes,Union Row,,Average And Indicative Speed,2023-09-29,,,Local Road,['7600241'],25.51,,,Basemap,,,,2023-08-17,32,20,,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Automated Process,Field Survey,Field Survey,Field Survey,Field Survey,2015-12-31,Field Survey,Field Survey,Field Survey,Field Survey,16.7,17.9,Field Survey,Field Survey,Field Survey,28.2,Desk-Based,12.7,13.8,12.2,11.8,12.2,15.0,15.6,17.4,9.8,13.2,18.2,,,,,,,,,,,,,,,53.13039206777163,278.5284827056538,ABD7
11,"LINESTRING (393533.8003998328 805889.6428634911, 393638.55160438525 805943.2565536886)",c7747d96-439d-4961-ae07-0fde70a3476e,Transport,Modified Attributes,Union Street,,Average And Indicative Speed,2023-09-29,,,Minor Road,"['7600082', '7603022']",117.672,,,Basemap,,,,2023-08-17,32,20,,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,2019-11-16,Field Survey,Field Survey,Field Survey,Field Survey,15.8,14.2,Field Survey,Field Survey,Field Survey,14.5,Field Survey,18.5,13.7,17.2,15.5,12.6,13.4,9.7,15.6,11.9,11.9,11.8,15.0,17.2,17.9,31.2,29.0,32.7,20.3,29.6,28.0,29.6,31.7,31.9,32.7,19.3,31.59241280425316,131.04956739990996,ABD7
12,"LINESTRING (393617.16327059915 806056.9604791232, 393626.82236827514 806050.0656194894)",cc69e086-f6d7-42b9-a2a5-afda09be5625,Transport,Modified Attributes,Huntly Street,,Average And Indicative Speed,2023-09-29,,,Local Road,['7601001'],11.87,,,Basemap,,,,2023-08-17,32,20,,2023-09-30T00:00:00Z,,Basemap,2023-02-09,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,2016-11-23,Field Survey,Field Survey,Field Survey,Field Survey,,,Field Survey,Field Survey,Field Survey,,Desk-Based,,,,,,,,,,,,24.0,23.5,32.8,22.5,21.9,22.5,18.0,24.0,23.7,21.9,20.0,21.4,16.9,25.9,85.95686068090782,326.6643273802375,ABD7
13,"LINESTRING (393644.56905283313 806037.3805138925, 393661.55425211304 806025.253282745, 393692.5542897124 806005.2449985009, 393698.5523975473 805998.2446844373, 393699.555380913 805997.2523647205, 393709.5545450639 805979.247293567)",d87720c6-e12e-4dd7-bdfa-70e0e742b03c,Transport,Modified Attributes,Huntly Street,,Average And Indicative Speed,2023-09-29,,,Local Road,['7601001'],88.993,,,Basemap,,,,2023-08-17,32,20,,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Automated Process,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Automated Process,2016-11-23,Field Survey,Field Survey,Field Survey,Field Survey,,,Field Survey,Automated Process,Field Survey,,Desk-Based,,,,,,,,,,,,27.2,21.4,25.1,19.2,7.4,19.2,24.8,17.9,6.9,18.4,21.9,11.4,23.7,28.2,49.785463219036934,30.536019561073545,ABD7
14,"LINESTRING (393638.55160438525 805943.2565536886, 393709.5545450639 805979.247293567)",dc5f9bbb-9dfe-40f2-8cfe-630784a0bc30,Transport,Modified Attributes,Union Street,,Average And Indicative Speed,2023-09-29,,,Minor Road,"['7600082', '7603022']",79.605,,,Basemap,,,,2023-08-17,32,20,,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,2018-10-13,Field Survey,Field Survey,Field Survey,Field Survey,32.2,28.8,Field Survey,Field Survey,Field Survey,28.7,Field Survey,30.3,28.2,29.9,33.3,29.5,29.8,26.4,30.7,28.2,24.9,32.2,23.2,19.8,16.4,13.5,15.3,12.7,12.6,15.6,14.2,12.4,16.4,12.4,11.9,8.7,15.215525627424057,158.37201997458544,ABD7
15,"LINESTRING (393736.54861837 805943.2486737662, 393769.55236475886 805966.3415268052, 393776.549278171 805971.2511828099)",e533fd01-7dd8-439b-bd78-c7e23d25fef9,Transport,Modified Attributes,Langstane Place,,Average And Indicative Speed,2023-09-29,,,Local Road,['7600077'],48.826,,,Basemap,,,,2023-08-17,32,20,,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Automated Process,Field Survey,Field Survey,Field Survey,Field Survey,2019-11-16,Field Survey,Field Survey,Field Survey,Field Survey,13.2,13.0,Field Survey,Field Survey,Field Survey,28.2,Field Survey,14.2,13.0,13.4,14.3,8.1,13.0,9.8,11.8,11.3,13.0,15.0,,,,,,,,,,,,,,,84.32100113820839,160.453451340313,ABD7
16,"LINESTRING (393615.60379868065 806058.0761488493, 393617.16327059915 806056.9604791232)",f016369b-187f-47b1-8627-ec1b93359945,Transport,Modified Attributes,Huntly Street,,Average And Indicative Speed,2023-09-29,,,Local Road,['7601001'],1.913,,,Basemap,,,,2023-08-17,32,20,,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,2016-11-23,Field Survey,Field Survey,Field Survey,Field Survey,,,Field Survey,Field Survey,Field Survey,,Desk-Based,,,,,,,,,,,,20.9,27.4,34.4,23.0,23.5,23.0,25.1,26.1,27.5,25.9,25.1,24.8,17.2,23.0,95.98585497206223,322.17037161680776,ABD7
17,"LINESTRING (393531.03840268444 805956.362196051, 393587.5559546894 805985.2493993058)",fbd726dd-aa4d-4325-9440-a869ea017372,Transport,Modified Attributes,Union Row,,Average And Indicative Speed,2023-09-29,,,Local Road,['7600241'],63.473,,,Basemap,,,,2023-08-17,32,20,,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Automated Process,Field Survey,Field Survey,Field Survey,Field Survey,2019-11-16,Field Survey,Field Survey,Field Survey,Field Survey,23.3,20.4,Field Survey,Field Survey,Field Survey,28.2,Field Survey,24.3,19.8,25.3,15.9,13.7,18.0,20.8,25.6,20.1,15.6,22.5,,,,,,,,,,,,,,,70.62571338080951,225.12833272321035,ABD7
0,"LINESTRING (394605.5096116219 804781.2615787776, 394587.5103110683 804774.2612668459, 394576.50706082553 804766.2608854894, 394559.50842654286 804756.2536817638, 394547.50765064626 804749.2566104301, 394525.5102970736 804740.2581798182, 394508.51352522365 804736.2513948053, 394499.5097000305 804734.2598479437, 394479.51262461254 804736.2574748273)",0981ef77-994f-4d7d-bdf1-a409e91002de,Transport,Modified Geometry,Grampian Place,,Average And Indicative Speed,2023-11-10,,,Local Road,['7601903'],137.083,,,Basemap,,,,2023-08-17,32,20,,2023-11-11T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,2020-07-02,Field Survey,Field Survey,Field Survey,Field Survey,35.2,29.9,Field Survey,Field Survey,Field Survey,36.1,Field Survey,34.0,32.4,34.0,32.2,29.8,27.4,29.0,30.3,31.9,29.5,31.2,31.4,30.3,36.1,30.1,34.0,31.4,42.2,29.8,36.4,32.2,34.1,32.8,32.7,34.4,93.31416383623201,226.90152774892994,ABD8
1,"LINESTRING (394439.6736408886 804861.9157346071, 394445.51358752756 804874.2532332682, 394449.5148660221 804883.253626603, 394457.80875337083 804906.2857444983)",0a86cb8f-de3d-4180-89f7-5b230349a2ec,Transport,Modified Attributes,Menzies Road,,Average And Indicative Speed,2023-09-29,,,Local Road,['7600852'],47.974,,,Basemap,,,,2023-08-17,48,30,,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Automated Process,Field Survey,Field Survey,Field Survey,Field Survey,,Field Survey,Field Survey,Field Survey,Field Survey,15.8,18.0,Field Survey,Field Survey,Field Survey,28.2,Desk-Based,15.0,15.8,15.0,17.4,17.4,18.0,23.0,20.1,21.7,10.9,23.2,15.8,19.2,28.2,15.0,20.3,15.0,17.4,23.2,27.0,20.4,20.3,24.0,10.9,23.2,91.4271011296527,10.966977321618856,ABD8
